"","X1","X0"
"1",1,0
"2",1,0
"3",1,0
"4",1,0
"5",1,0
"6",1,0.001
"7",1,0
"8",1,0
"9",1,0
"10",1,0
"11",1,0
"12",1,0
"13",1,0
"14",1,0
"15",1,0
"16",1,0
"17",1,0
"18",1,0
"19",1,0
"20",1,0
"21",1,0
"22",1,0
"23",1,0
"24",1,0
"25",1,0
"26",1,0
"27",1,0
"28",1,0
"29",1,0
"30",1,0
"31",1,0
"32",1,0
"33",1,0.001
"34",1,0
"35",1,0
"36",2,0
"37",2,0
"38",2,0
"39",2,0
"40",2,0
"41",2,0
"42",2,0
"43",2,0
"44",2,0
"45",2,0
"46",2,0
"47",2,0
"48",2,0
"49",2,0
"50",2,0
"51",2,0
"52",2,0.001
"53",2,0
"54",2,0
"55",2,0
"56",2,0.001
"57",2,0
"58",2,0
"59",2,0
"60",2,0
"61",2,0
"62",2,0
"63",2,0
"64",2,0
"65",2,0
"66",2,0
"67",2,0
"68",2,0
"69",2,0
"70",2,0
"71",3,0
"72",3,0
"73",3,0
"74",3,0
"75",3,0
"76",3,0
"77",3,0
"78",3,0
"79",3,0
"80",3,0
"81",3,0
"82",3,0
"83",3,0
"84",3,0
"85",3,0
"86",3,0
"87",3,0
"88",3,0
"89",3,0
"90",3,0
"91",3,0
"92",3,0
"93",3,0
"94",3,0
"95",3,0
"96",3,0
"97",3,0
"98",3,0
"99",3,0
"100",3,0
"101",3,0
"102",3,0
"103",3,0
"104",3,0
"105",3,0
"106",4,0
"107",4,0
"108",4,0
"109",4,0
"110",4,0.001
"111",4,0
"112",4,0
"113",4,0
"114",4,0
"115",4,0
"116",4,0
"117",4,0
"118",4,0
"119",4,0
"120",4,0
"121",4,0
"122",4,0
"123",4,0
"124",4,0
"125",4,0
"126",4,0
"127",4,0
"128",4,0
"129",4,0
"130",4,0
"131",4,0
"132",4,0
"133",4,0
"134",4,0
"135",4,0
"136",4,0
"137",4,0
"138",4,0
"139",4,0
"140",4,0
"141",5,0
"142",5,0
"143",5,0
"144",5,0.001
"145",5,0
"146",5,0
"147",5,0
"148",5,0
"149",5,0
"150",5,0
"151",5,0
"152",5,0
"153",5,0
"154",5,0
"155",5,0
"156",5,0
"157",5,0
"158",5,0
"159",5,0.001
"160",5,0
"161",5,0
"162",5,0
"163",5,0
"164",5,0
"165",5,0
"166",5,0
"167",5,0
"168",5,0
"169",5,0
"170",5,0
"171",5,0
